dates,hours,soil-moisture,soil-temperature
2023-01-13,13,19.772222222222222,10.934814814814816
2023-01-13,14,19.87,10.788333333333334
2023-01-13,15,19.967777777777776,10.641851851851852
2023-01-13,16,20.065555555555555,10.49537037037037
2023-01-13,17,20.163333333333334,10.34888888888889
2023-01-13,18,20.261111111111113,10.202407407407408
2023-01-13,19,20.358888888888888,10.055925925925926
2023-01-13,20,20.456666666666667,9.909444444444444
2023-01-13,21,20.554444444444446,9.762962962962963
2023-01-13,22,20.65222222222222,9.616481481481483
2023-01-13,23,20.75,9.47
2023-01-14,00,20.72,9.36
2023-01-14,01,20.65,9.06
2023-01-14,02,20.611666666666665,8.906666666666666
2023-01-14,03,20.573333333333334,8.753333333333334
2023-01-14,04,20.535,8.600000000000001
2023-01-14,05,20.496666666666666,8.446666666666667
2023-01-14,06,20.458333333333336,8.293333333333333
2023-01-14,07,20.42,8.14
2023-01-14,08,20.380000000000003,8.0
2023-01-14,09,20.34,7.86
2023-01-14,10,20.3,7.72
2023-01-14,11,20.29,7.68
2023-01-14,12,20.22,7.47
2023-01-14,13,20.21,7.47
2023-01-14,14,20.2,7.47
2023-01-14,15,20.12,7.883333333333334
2023-01-14,16,20.04,8.296666666666667
2023-01-14,17,19.96,8.71
2023-01-14,18,19.89,8.93
2023-01-14,19,19.864285714285714,8.732857142857142
2023-01-14,20,19.83857142857143,8.535714285714285
2023-01-14,21,19.812857142857144,8.338571428571429
2023-01-14,22,19.787142857142857,8.141428571428571
2023-01-14,23,19.76142857142857,7.944285714285714
2023-01-15,00,19.735714285714288,7.747142857142856
2023-01-15,01,19.71,7.55
2023-01-15,02,19.70111111111111,7.386666666666667
2023-01-15,03,19.692222222222224,7.223333333333334
2023-01-15,04,19.683333333333334,7.06
2023-01-15,05,19.674444444444443,6.8966666666666665
2023-01-15,06,19.665555555555557,6.733333333333333
2023-01-15,07,19.656666666666666,6.57
2023-01-15,08,19.647777777777776,6.406666666666666
2023-01-15,09,19.63888888888889,6.243333333333333
2023-01-15,10,19.63,6.08
2023-01-15,11,19.62,5.9
2023-01-15,12,19.6,5.775
2023-01-15,13,19.6,5.73
2023-01-15,14,19.58,6.16
2023-01-15,15,19.529999999999998,6.663333333333333
2023-01-15,16,19.48,7.166666666666667
2023-01-15,17,19.43,7.67
2023-01-15,18,19.409166666666668,7.619166666666667
2023-01-15,19,19.388333333333332,7.568333333333333
2023-01-15,20,19.3675,7.5175
2023-01-15,21,19.346666666666668,7.466666666666667
2023-01-15,22,19.325833333333332,7.4158333333333335
2023-01-15,23,19.305,7.365
2023-01-16,00,19.284166666666668,7.314166666666666
2023-01-16,01,19.263333333333332,7.263333333333333
2023-01-16,02,19.2425,7.2124999999999995
2023-01-16,03,19.221666666666668,7.161666666666666
2023-01-16,04,19.200833333333332,7.110833333333333
2023-01-16,05,19.18,7.06
2023-01-16,06,19.172857142857143,6.93
2023-01-16,07,19.165714285714284,6.8
2023-01-16,08,19.158571428571427,6.67
2023-01-16,09,19.15142857142857,6.54
2023-01-16,10,19.144285714285715,6.41
2023-01-16,11,19.137142857142855,6.28
2023-01-16,12,19.13,6.15
2023-01-16,13,19.14,6.11
2023-01-16,14,19.107692307692307,6.336923076923077
2023-01-16,15,19.075384615384614,6.563846153846154
2023-01-16,16,19.043076923076924,6.790769230769231
2023-01-16,17,19.01076923076923,7.017692307692308
2023-01-16,18,18.978461538461538,7.244615384615385
2023-01-16,19,18.946153846153845,7.4715384615384615
2023-01-16,20,18.913846153846155,7.6984615384615385
2023-01-16,21,18.88153846153846,7.9253846153846155
2023-01-16,22,18.84923076923077,8.152307692307692
2023-01-16,23,18.816923076923075,8.37923076923077
2023-01-17,00,18.784615384615385,8.606153846153846
2023-01-17,01,18.752307692307692,8.833076923076923
2023-01-17,02,18.72,9.06
2023-01-17,03,18.99375,9.125625000000001
2023-01-17,04,19.2675,9.19125
2023-01-17,05,19.541249999999998,9.256875
2023-01-17,06,19.814999999999998,9.3225
2023-01-17,07,20.08875,9.388125
2023-01-17,08,20.3625,9.45375
2023-01-17,09,20.63625,9.519375
2023-01-17,10,20.91,9.585
2023-01-17,11,21.18375,9.650625
2023-01-17,12,21.4575,9.71625
2023-01-17,13,21.73125,9.781875
2023-01-17,14,22.005000000000003,9.8475
2023-01-17,15,22.278750000000002,9.913124999999999
2023-01-17,16,22.552500000000002,9.97875
2023-01-17,17,22.82625,10.044374999999999
2023-01-17,18,23.1,10.11
2023-01-17,19,22.980384615384615,10.206538461538461
2023-01-17,20,22.860769230769233,10.303076923076922
2023-01-17,21,22.741153846153846,10.399615384615384
2023-01-17,22,22.621538461538464,10.496153846153845
2023-01-17,23,22.501923076923077,10.592692307692307
2023-01-18,00,22.382307692307695,10.689230769230768
2023-01-18,01,22.26269230769231,10.78576923076923
2023-01-18,02,22.143076923076922,10.882307692307691
2023-01-18,03,22.02346153846154,10.978846153846153
2023-01-18,04,21.903846153846153,11.075384615384614
2023-01-18,05,21.78423076923077,11.171923076923076
2023-01-18,06,21.664615384615384,11.268461538461537
2023-01-18,07,21.545,11.364999999999998
2023-01-18,08,21.425384615384615,11.46153846153846
2023-01-18,09,21.30576923076923,11.558076923076923
2023-01-18,10,21.186153846153847,11.654615384615385
2023-01-18,11,21.06653846153846,11.751153846153846
2023-01-18,12,20.946923076923078,11.847692307692308
2023-01-18,13,20.82730769230769,11.944230769230769
2023-01-18,14,20.707692307692305,12.04076923076923
2023-01-18,15,20.588076923076922,12.137307692307692
2023-01-18,16,20.468461538461536,12.233846153846153
2023-01-18,17,20.348846153846154,12.330384615384615
2023-01-18,18,20.229230769230767,12.426923076923076
2023-01-18,19,20.10961538461538,12.523461538461538
2023-01-18,20,19.99,12.62
2023-01-18,21,19.96333333333333,12.616666666666665
2023-01-18,22,19.936666666666664,12.613333333333333
2023-01-18,23,19.91,12.61
2023-01-19,00,19.883333333333333,12.606666666666666
2023-01-19,01,19.856666666666666,12.603333333333333
2023-01-19,02,19.83,12.6
2023-01-19,03,19.80333333333333,12.596666666666666
2023-01-19,04,19.776666666666667,12.593333333333334
2023-01-19,05,19.75,12.59
2023-01-19,06,19.723333333333333,12.586666666666666
2023-01-19,07,19.696666666666665,12.583333333333334
2023-01-19,08,19.669999999999998,12.58
2023-01-19,09,19.643333333333334,12.576666666666666
2023-01-19,10,19.616666666666667,12.573333333333334
2023-01-19,11,19.59,12.57
2023-01-19,12,19.618333333333332,12.746666666666666
2023-01-19,13,19.646666666666665,12.923333333333334
2023-01-19,14,19.674999999999997,13.1
2023-01-19,15,19.703333333333333,13.276666666666666
2023-01-19,16,19.731666666666666,13.453333333333333
2023-01-19,17,19.759999999999998,13.629999999999999
2023-01-19,18,19.58,14.07
2023-01-19,19,19.47,14.156666666666666
2023-01-19,20,19.346666666666664,14.466666666666667
2023-01-19,21,19.270000000000003,14.364999999999998
2023-01-19,22,19.205,13.925
2023-01-19,23,19.18,13.49
2023-01-20,00,19.158333333333335,13.198333333333332
2023-01-20,01,19.136666666666667,12.906666666666666
2023-01-20,02,19.115000000000002,12.614999999999998
2023-01-20,03,19.085833333333333,12.623055555555554
2023-01-20,04,19.05666666666667,12.63111111111111
2023-01-20,05,19.027500000000003,12.639166666666664
2023-01-20,06,18.998333333333335,12.64722222222222
2023-01-20,07,18.969166666666666,12.655277777777776
2023-01-20,08,18.94,12.663333333333332
2023-01-20,09,18.910833333333336,12.671388888888888
2023-01-20,10,18.881666666666668,12.679444444444444
2023-01-20,11,18.8525,12.6875
2023-01-20,12,18.823333333333334,12.695555555555554
2023-01-20,13,18.79416666666667,12.70361111111111
2023-01-20,14,18.765,12.711666666666666
2023-01-20,15,18.735833333333332,12.719722222222222
2023-01-20,16,18.706666666666667,12.727777777777778
2023-01-20,17,18.677500000000002,12.735833333333332
2023-01-20,18,18.648333333333333,12.743888888888888
